ID,Gender,Length,In Cluster,Diameter,Width,Height,Whole weight,BMI,Shucked weight,Viscera Weight,Shell Weight,Rings
54438643,M,0.455,0,0.365,0.206912208377597,0.095,0.514,5.41052631578947,0.2245,0.101,0.15,15
8704080,M,0.35,1,0.265,0.034680458625745,0.09,0.2255,2.50555555555556,0.0995,0.0485,0.07,7
74233547,F,0.53,0,0.42,0.2710579462749,0.135,0.677,5.01481481481482,0.2565,0.1415,0.21,9
65719134,M,?,0,0.365,0.244471052736366,0.125,0.516,4.128,0.2155,0.114,0.155,10
47543232,I,0.33,1,0.255,0.18276056873356,0.08,0.205,2.5625,0.0895,0.0395,0.055,7
8754664,I,0.425,1,0.3,0.034881493119708,0.095,0.3515,3.7,0.141,0.0775,0.12,8
20647495,F,0.53,1,0.415,0.081790033809291,0.15,0.7775,5.18333333333333,0.237,0.1415,0.33,20
73011284,F,0.545,0,0.425,0.267339393559248,0.125,0.768,6.144,0.294,0.1495,0.26,16
29730234,M,0.475,1,0.37,0.116882153746916,0.125,0.5095,4.076,0.2165,0.1125,0.165,9
74346965,F,0.55,0,0.44,0.271401304228361,0.15,0.8945,5.96333333333333,0.3145,0.151,0.32,19
90827360,F,0.525,0,0.38,0.318133156342903,0.14,0.6065,4.33214285714286,0.194,0.1475,0.21,14
42967052,M,0.43,1,0.35,0.166282335747006,0.11,0.406,3.69090909090909,0.1675,0.081,0.135,10
7594108,M,0.49,1,0.38,0.030267011567161,0.135,0.5415,4.01111111111111,0.2175,0.095,0.19,11
60583736,F,0.535,0,0.405,0.227688621289013,0.145,0.6845,4.72068965517241,0.2725,0.171,0.205,10
13309176,F,0.47,1,0.355,0.052939593027028,0.1,0.4755,4.755,0.1675,0.0805,0.185,10
91709118,M,0.5,0,0.4,0.320452568484358,0.13,0.6645,5.11153846153846,0.258,0.133,0.24,12
18294933,I,0.355,1,0.28,0.072581110512769,0.085,0.2905,3.41764705882353,0.095,0.0395,0.115,7
57540058,F,0.44,0,0.34,0.21748979514329,0.1,0.451,4.51,0.188,0.087,0.13,10
59052102,M,0.365,0,0.295,0.222579301022255,0.08,0.2555,3.19375,0.097,0.043,0.1,7
14458971,M,0.45,1,0.32,0.057482587789147,0.1,0.381,3.81,0.1705,0.075,0.115,9
95256546,M,0.355,0,0.28,0.329594857172326,0.095,0.2455,2.58421052631579,0.0955,0.062,0.075,11
80492266,I,0.38,0,0.275,0.289567845549335,0.1,0.2255,2.255,0.08,0.049,0.085,10
2304453,F,0.565,1,0.44,0.009192623667562,0.155,0.9395,6.06129032258065,0.4275,0.214,0.27,12
40798345,F,?,1,0.415,0.158357085876629,0.135,0.7635,5.65555555555556,0.318,0.21,0.2,9
